VehicleID,Manufacturing_Lot,PSI
V40858,Lot1,1499
V40607,Lot1,1500
V31443,Lot1,1500
V6004,Lot1,1500
V7000,Lot1,1501
V17344,Lot1,1501
V37049,Lot1,1500
V9048,Lot1,1499
V40947,Lot1,1501
V4682,Lot1,1500
V35167,Lot1,1500
V20839,Lot1,1498
V1763,Lot1,1500
V7915,Lot1,1499
V24283,Lot1,1500
V14310,Lot1,1500
V48331,Lot1,1502
V24679,Lot1,1499
V26894,Lot1,1498
V42152,Lot1,1501
V213,Lot1,1500
V4312,Lot1,1499
V34599,Lot1,1501
V5945,Lot1,1500
V45341,Lot1,1498
V11514,Lot1,1499
V2168,Lot1,1501
V22022,Lot1,1499
V39970,Lot1,1499
V25197,Lot1,1502
V8438,Lot1,1500
V14229,Lot1,1502
V493,Lot1,1501
V16491,Lot1,1500
V1037,Lot1,1500
V11948,Lot1,1500
V34990,Lot1,1500
V10773,Lot1,1501
V41106,Lot1,1500
V37342,Lot1,1501
V23497,Lot1,1500
V47918,Lot1,1499
V24631,Lot1,1499
V44338,Lot1,1500
V6203,Lot1,1499
V41780,Lot1,1500
V25772,Lot1,1501
V33072,Lot1,1501
V9609,Lot1,1501
V17444,Lot1,1499
V2937,Lot2,1499
V33662,Lot2,1501
V35897,Lot2,1499
V40383,Lot2,1500
V31118,Lot2,1505
V49231,Lot2,1499
V16893,Lot2,1502
V19636,Lot2,1500
V24531,Lot2,1499
V29702,Lot2,1497
V27432,Lot2,1499
V41076,Lot2,1494
V31174,Lot2,1496
V21322,Lot2,1498
V27412,Lot2,1498
V13774,Lot2,1502
V45883,Lot2,1504
V29723,Lot2,1498
V8872,Lot2,1500
V3320,Lot2,1498
V18858,Lot2,1501
V9531,Lot2,1500
V44685,Lot2,1501
V12054,Lot2,1502
V16182,Lot2,1501
V14013,Lot2,1499
V9627,Lot2,1505
V41360,Lot2,1505
V924,Lot2,1500
V47525,Lot2,1504
V31495,Lot2,1500
V38509,Lot2,1503
V17834,Lot2,1495
V20413,Lot2,1503
V17502,Lot2,1504
V40607,Lot2,1503
V44576,Lot2,1500
V35190,Lot2,1500
V46374,Lot2,1500
V47062,Lot2,1499
V11605,Lot2,1496
V14941,Lot2,1502
V2942,Lot2,1501
V32735,Lot2,1506
V45208,Lot2,1501
V40317,Lot2,1495
V36280,Lot2,1497
V31949,Lot2,1500
V49281,Lot2,1499
V34138,Lot2,1500
V5908,Lot3,1503
V9510,Lot3,1501
V3092,Lot3,1496
V49408,Lot3,1503
V35127,Lot3,1496
V27926,Lot3,1503
V830,Lot3,1498
V25929,Lot3,1499
V45061,Lot3,1477
V33860,Lot3,1499
V27039,Lot3,1501
V16942,Lot3,1495
V1405,Lot3,1480
V7785,Lot3,1502
V39902,Lot3,1503
V47785,Lot3,1491
V42574,Lot3,1501
V35633,Lot3,1542
V38088,Lot3,1474
V39133,Lot3,1498
V8204,Lot3,1498
V37577,Lot3,1515
V30892,Lot3,1499
V37654,Lot3,1503
V12051,Lot3,1501
V5504,Lot3,1495
V15755,Lot3,1498
V13224,Lot3,1499
V46194,Lot3,1452
V47096,Lot3,1458
V9537,Lot3,1501
V7763,Lot3,1500
V41771,Lot3,1508
V28453,Lot3,1483
V21383,Lot3,1492
V26143,Lot3,1489
V38622,Lot3,1497
V19109,Lot3,1485
V32572,Lot3,1507
V793,Lot3,1500
V26325,Lot3,1499
V42093,Lot3,1486
V46047,Lot3,1498
V17544,Lot3,1496
V9896,Lot3,1496
V20689,Lot3,1491
V18191,Lot3,1494
V39791,Lot3,1503
V10053,Lot3,1499
V45267,Lot3,1503
